id,company,productName,salesPrice,tags
381,"Taro Pharmaceuticals U.S.A., Inc.",Betamethasone Dipropionate,116.24,medicine
382,"Nelco Laboratories, Inc.",Oat Smut,120.55,medicine
383,Organon Pharmaceuticals USA,SAPHRIS,193.91,medicine
384,Apotex Corp.,Ketorolac Tromethamine,514.36,health
385,"Nelco Laboratories, Inc.",Queen Palm,989.0,pharmacy
386,Rebel Distributors Corp,Terconazole,929.72,medicine
387,"Blu Pharmaceuticals, LLC",Lisinopril,124.96,pharmacy
388,"Menper Distributors, Inc.",Magmex,153.27,health
389,"Actavis Pharma, Inc.",Hydrocodone Bitartrate and Acetaminophen,201.14,health
390,"BioComp Pharma, Inc.",BP Cleansing,844.0,health
391,"La Prairie, Inc.",ANTI-AGING CONCEALER FACE EYES SUNSCREEN SPF 20 Shade 40,622.46,health
392,"TROY MANUFACTURING, INC",STOPAIN COLD PAIN RELIEVING,401.55,health
393,Best Choice,Peptic Relief Cherry,587.57,medicine
394,"AvKARE, Inc.",Primidone,900.54,pharmacy
395,"ALK-Abello, Inc.",ACREMONIUM STRICTUM,783.12,health
396,"Atlas Welding Supply Co., Inc.",OXYGEN,974.24,medicine
397,Washington Homeopathic Products,WHP Be gone Hot Flashes,754.97,pharmacy
398,Apotheca Company,Endopure Testos-Male,284.52,medicine
399,Apotheca Company,HZ Formula,780.68,pharmacy
400,Camber Pharmaceuticals,Quinapril,603.52,medicine
401,"Publix Supermarkets, Inc.",Ibuprofen,604.86,pharmacy
402,REMEDYREPACK INC.,Ciprofloxacin Hydrochloride,769.78,medicine
403,"Toys""R""Us, Inc.",babies r us ibuprofen,523.45,pharmacy
404,"Truceuticals, LLC",Tru-micin,143.18,health
405,Qualitest Pharmaceuticals,Amitriptyline Hydrochloride,760.56,pharmacy
406,Benco Dental,Mepivacaine,60.16,medicine
407,Cardinal Health,VIIBRYD,297.21,pharmacy
408,STAT Rx USA LLC,CIPROFLOXACIN HYDROCHLORIDE,80.9,pharmacy
409,DIRECT RX,FUROSEMIDE,201.11,health
410,"Bayer HealthCare LLC, Consumer Care",Bactine Pain Relieving,911.77,medicine
411,ALL NATURAL DYNAMICS,TING,913.88,health
412,Bryant Ranch Prepack,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,133.03,health
413,Pharmacia and Upjohn Company,Xanax,635.82,medicine
414,"Nelson Bach USA, Ltd.",Rescue,259.1,pharmacy
415,"Skin Alive, Ltd.",GolfersSkin Sunscreen Zinc,503.01,pharmacy
416,Kosan Kozmetik Sanayi ve Ticaret A.S.,flormar REBORN DOUBLE RADIANCE PRIMER HIGHLIGHTER SUNSCREEN BROAD SPECTRUM SPF 10,24.36,pharmacy
417,"APP Pharmaceuticals, Inc.",Ampicillin,331.02,pharmacy
418,Blossom Pharmaceuticals,Blossom HP 3,110.73,medicine
419,HOMEOLAB USA INC,CARBO VEGETABILIS,328.58,health
420,"Idelle Labs, Ltd",Brut Anti-perspirant and Deodorant,354.74,health
421,Qualitest Pharmaceuticals,Hydrocodone Bitartrate And Acetaminophen,950.11,pharmacy
422,Coty US LLC,ck one 3-in-1 face makeup,729.57,pharmacy
423,"Oxarc, Inc.",Nitrogen,651.77,health
424,CVS Pharmacy,miconazole 7,551.57,medicine
425,RITE AID CORPORATION,Rite Aid Sport SunscreenSPF 50,719.01,pharmacy
426,Forces of Nature,Skin Tags,749.43,medicine
427,Conopco Inc. d/b/a Unilever,Dove Ultimate Visibly Smooth Nature Fresh,281.21,pharmacy
428,"Teva Parenteral Medicines, Inc.",Methylprednisolone Acetate,105.63,pharmacy
429,Rebel Distributors Corp,Diphenhydramine,40.79,health
430,Bare Escentuals Beauty Inc.,Golden Deep Foundation SPF 15,284.05,medicine
431,CVS Pharmacy Inc,CVS Medicated Chest Rub,212.37,medicine
432,"Hospira, Inc.",Sodium Chloride,152.26,medicine
433,Merck Sharp & Dohme Corp.,HYZAAR,631.22,pharmacy
434,Major Pharmaceuticals,Demeclocycline Hydrochloride,30.41,pharmacy
435,McKesson Contract Packaging,Lisinopril,813.77,medicine
436,Walgreen Company,Hydrocortisone Maximum Strength,734.66,medicine
437,Parfums Christian Dior,Capture Totale Radiance Restoring Serum Foundation SPF 15 012,381.32,pharmacy
438,Eli Lilly and Company,Humalog,339.96,pharmacy
439,Sun Pharma Global Inc.,Alendronate Sodium,958.74,medicine
440,REMEDYREPACK INC.,Strattera,569.15,pharmacy
441,Unifirst First Aid Corporation,Green Guard Maximum Non-Aspirin,597.05,health
442,Marco Pharma International LLC.,Cholenest,724.64,medicine
443,"AMI Cosmetic Co.,Ltd.",Ultra Nutrition Eye,115.72,pharmacy
444,"Wyeth BioPharma Division of Wyeth Pharmaceuticals Inc., a subsidiary of Pfizer Inc.",Xyntha,976.13,medicine
445,"Akorn, Inc.",Gentamicin Sulfate,781.0,pharmacy
446,Premier Value,"Nicotine Polacrilex, Original",849.57,pharmacy
447,"Libertas Pharma, Inc.",Sodium Fluoride,689.84,health
448,"Falcon Pharmaceuticals, Ltd.",Cyclopentolate Hydrochloride,460.92,pharmacy
449,AbbVie Inc.,Cardizem LA,908.62,pharmacy
450,Eli Lilly and Company,Strattera,73.44,health
451,REMEDYREPACK INC.,Trazodone Hydrochloride,140.3,pharmacy
452,Rebel Distributors Corp,LEVAQUIN,660.01,medicine
453,"Taro Pharmaceuticals U.S.A., Inc.",Mupirocin,136.06,medicine
454,Rebel Distributors Corp,Potassium Chloride,878.83,medicine
455,"Blue Cross Laboratories, Inc.",Assured Vaporizing Chest Rub,737.77,health
456,Unit Dose Services,Warfarin Sodium,736.84,health
457,"Homeostasis Laboratories, Inc.",Cough and Cold RELIEF,653.87,health
458,"ALK-Abello, Inc.",PHOMA EXIGUA VAR EXIGUA,323.66,medicine
459,Ventura International LTD,LBEL FILLING EFFECT FOUNDATION SPF 10,322.58,pharmacy
460,"Bare Escentuals Beauty, Inc.",bareMinerals bareSkin Pure Brightening Serum Foundation Broad Spectrum SPF 20,517.2,health
461,"TAI GUK PHARM. CO., LTD.",FAMILY CARE ANTI-ITCH,825.12,health
462,American Health Packaging,Bupropion Hydrochloride,360.35,medicine
463,Walgreen Company,smooth lax,629.82,health
464,Cardinal Health,Enoxaparin Sodium,942.76,pharmacy
465,LABORATOIRES M&L,Verdon Outdoor Moisturizer SPF 30,24.7,health
466,"WG Critical Care, LLC",Paclitaxel,678.44,health
467,"Merz Pharmaceuticals, LLC",Cuvposa,130.59,medicine
468,VersaPharm Incorporated,Lindane,634.6,medicine
469,"Physicians Total Care, inc.",PHENTERMINE HYDROCHLORIDE,455.41,pharmacy
470,Clinical Solutions Wholesale,METOPROLOL SUCCINATE,289.19,medicine
471,Target Corporation,Low-Dose Aspirin,843.04,medicine
472,Marco Pharma International LLC.,Luffa,406.63,pharmacy
473,Cardinal Health,LANOXIN,975.1,medicine
474,"General Injectables & Vaccines, Inc",Marcaine,69.14,medicine
475,Rhodes Pharmaceuticals L.P.,Hydromorphone Hydrochloride,596.51,medicine
476,Kimberly-Clark Corporation,Kleenex Antiseptic Skin Cleanser,316.33,health
477,Bliss World LLC,no zit sherlock acnespot treatment,3.05,medicine
478,Aurobindo Pharma Limited,Valsartan and Hydrochlorothiazide,91.22,health
479,Rite Aid,Allergy Relief,258.18,medicine
480,KANEBO COSMETICS INC,SENSAI CELLULAR PERFORMANCE POWDER FOUNDATION,407.28,health
481,R.A. McNeil Company,M-CLEAR,687.16,pharmacy
482,Uriel Pharmacy Inc.,Thymus Mercurius,814.11,pharmacy
483,SMART SENSE (Kmart),STOOL SOFTENER,713.92,health
484,REMEDYREPACK INC.,Ibuprofen,155.36,pharmacy
485,Carilion Materials Management,Chlorhexidine Gluconate,21.34,pharmacy
486,"Physicians Total Care, Inc.",Tretinoin,746.87,medicine
487,"Novartis Consumer Health, Inc.",EXCEDRIN,464.52,health
488,DIRECT RX,VOLTAREN,382.89,medicine
489,"X-GEN Pharmaceuticals, Inc.",Neomycin and Polymyxin B Sulfates,769.52,pharmacy
490,Walgreen Company,Walgreens Zinc Oxide,790.92,medicine
491,Citron Pharma LLC,Quetiapine Fumarate,487.5,medicine
492,"Physicians Total Care, Inc.",Fluconazole,341.86,pharmacy
493,"Natural Creations, Inc.",SURG HP,56.78,health
494,Uriel Pharmacy Inc.,Bambusa Pulsatilla,825.91,pharmacy
495,New Sun Inc.,Bacterial Reliever,202.91,health
496,"Johnson & Johnson Consumer Products Company, Division of Johnson & Johnson Consumer Companies, Inc.",Korres Wild Rose Mineral Foundation,884.38,health
497,Sanofi Pasteur Inc.,TETANUS TOXOID ADSORBED,252.32,pharmacy
498,INDICUS PHARMA LLC,DONEPEZIL HYDROCHLORIDE,591.3,health
499,Cardinal Health,Midazolam Hydrochloride,654.75,medicine
500,Unit Dose Services,Glipizide,178.17,pharmacy
501,The Mentholatum Company,Softlips Praline Brownie,145.26,medicine
502,"MedVantx, Inc.",Tamsulosin Hydrochloride,592.1,medicine
503,"UDL Laboratories, Inc.",Tacrolimus,346.69,health
504,"Preferred Pharmaceuticals, Inc",Atenolol and Chlorthalidone,229.06,pharmacy
505,Aurobindo Pharma Limited,Lisinopril and Hydrochlorothiazide,103.44,pharmacy
506,"Aqua Pharmaceuticals, LLC",Monodox,774.56,pharmacy
507,"Newton Laboratories, Inc.",Teething - Colic,699.64,pharmacy
508,"Genentech, Inc.",Herceptin,643.88,medicine
509,Zydus Pharmaceuticals (USA) Inc.,topiramate,128.67,pharmacy
510,McKesson Packaging Services Business Unit of McKesson Corporation,Lorazepam,965.22,medicine
511,Jubilant HollisterStier LLC,"Pollens - Trees, Pepper Tree, California Schinus molle",713.2,medicine
512,Target Corp,Vitamin A D,366.63,medicine
513,Aidarex Pharmaceuticals LLC,Erythromycin,163.54,medicine
514,"Pharmaceutical Associates, Inc.",AMANTADINE HYDROCHLORIDE,972.1,health
515,"Physicians Total Care, Inc.",Fluoxetine Hydrochloride,382.34,pharmacy
516,Sam's West Inc,Mucus Relief,206.64,medicine
517,"Physicians Total Care, Inc.",MIRAPEX,0.94,health
518,"BioActive Nutritional, Inc.",PNEUMOPLEX,765.72,pharmacy
519,WALGREEN CO.,Maximum Strength Allergy Sinus,551.78,medicine
520,Kao Brands Company,Ban,15.97,pharmacy
521,"Nelco Laboratories, Inc.",California Live Oak,37.33,pharmacy
522,WALGREEN COMPANY,studio 35 beauty,197.49,medicine
523,"Northwind Pharmaceuticals, LLC",Pravastatin Sodium,528.87,pharmacy
524,"Nelco Laboratories, Inc.",White Kidney Beans,607.18,health
525,Cardinal Health,Haloperidol,839.11,pharmacy
526,"Allergy Laboratories, Inc.",BURWEED MARSHELDER POLLEN,543.01,pharmacy
527,NeoPharm USA,MAXFIT FREEZE GEL,321.41,health
528,LUPIN PHARMA,Antara,461.53,medicine
529,Energizer Personal Care LLC,HAWAIIAN TROPIC,427.83,medicine
530,REMEDYREPACK INC.,Naproxen,8.26,health
531,Wockhardt USA LLC.,Lisinopril,0.75,pharmacy
532,American Health Packaging,Isosorbide Dinitrate,969.61,pharmacy
533,"H.J. Harkins Company, Inc.",Tizanidine,513.52,pharmacy
534,"NATURE REPUBLIC CO., LTD.",SNAIL THERAPY 70 SPECIAL SET,612.61,pharmacy
535,"Allergy Laboratories, Inc.","BIRCH MIX, RIVER/PAPER/SWEET/WHITE POLLEN",649.56,medicine
536,Mylan Pharmaceuticals Inc.,Clonidine,947.18,medicine
537,Amerisource Bergen,Good Neighbor Pharmacy Tussin CF,998.21,pharmacy
538,Sagent Pharmaceuticals,Nafcillin,412.34,health
539,Lake Erie Medical DBA Quality Care Products LLC,KADIAN,771.05,pharmacy
540,Mary Kay INC.,Lip Protector Sunscreen SPF15,960.69,pharmacy
541,"Physicians Total Care, Inc.",Penicillin V Potassium,847.31,pharmacy
542,"Chain Drug Consortium, LLC",Cetirizine Hydrochloride,981.36,medicine
543,Hyland's,KALI MURIATICUM,672.12,medicine
544,Sancilio & Company Inc,Neutral Sodium Fluoride,400.59,pharmacy
545,West-ward Pharmaceutical Corp,Clonidine Hydrochloride,792.4,health
546,"Lupin Pharmaceuticals, Inc.",Valsartan and Hydrochlorothiazide,45.58,pharmacy
547,Contract Pharmacy Services-PA,Lisinopril,98.85,medicine
548,"Eon Labs, Inc.",Lovastatin,421.29,medicine
549,Humphreyline,Hand Sanitizer,493.05,medicine
550,REMEDYREPACK INC.,Lisinopril,713.95,health
551,State of Florida DOH Central Pharmacy,ENALAPRIL MALEATE,809.32,pharmacy
552,"SJ Creations, Inc.","Citrus, Basil and Lime Antibacterial Foaming Hand Wash",889.92,pharmacy
553,"Advanced Beauty Systems, Inc.",Toasted Vanilla Kit,520.15,pharmacy
554,Apotex Corp.,Cetirizine Hydrochloride,791.94,medicine
555,Rebel Distributors Corp,Bacitracin Zinc and Polymyxin B Sulfate,742.4,pharmacy
556,Uriel Pharmacy Inc.,Cerussite 8,500.26,medicine
557,Topco Associates LLC,Topcare DayTime,328.65,health
558,"O24 Naturals, LLC",SierraSil Pain Relief,33.11,pharmacy
559,Mylan Pharmaceuticals Inc.,Doxycycline,674.85,medicine
560,Home Sweet Homeopathics,Burns,107.69,health
561,Aidarex Pharmaceuticals LLC,Metoprolol Tartrate,306.24,health
562,Cardinal Health,LEADER Povidone - Iodine,536.78,medicine
563,REMEDYREPACK INC.,Promethazine Hydrochloride,753.41,medicine
564,"Santarus, Inc.",Fenoglide,409.97,health
565,Teva Pharmaceuticals USA Inc,Bumetanide,729.37,medicine
566,"PD-Rx Pharmaceuticals, Inc.",RISPERDAL,271.87,health
567,"Deseret Biologicals, Inc.",PERICARDIUM TRIPLE WARMER MERIDIAN OPENER,658.95,medicine
568,"Forest Laboratories, Inc",Armour Thyroid,818.45,medicine
569,"Nelco Laboratories, Inc.",East Sycamore,116.74,health
570,Apotheca Company,Relaxatone,589.86,medicine
571,"CVS Pharmacy, Inc.",CVS Sore Throat Mixed Berry Flavor,28.36,health
572,"Breckenridge Pharmaceutical, Inc.",OXCARBAZEPINE,860.67,pharmacy
573,Apotheca Company,Sore Throat,206.68,pharmacy
574,"Northwind Pharmaceuticals, LLC",Benzonatate,179.61,medicine
575,Mylan Pharmaceuticals Inc.,Bisoprolol Fumarate and Hydrochlorothiazide,742.47,medicine
576,"BPI Labs, LLC",Epinephrine,990.22,pharmacy
577,E. FOUGERA & CO. A division of Fougera Pharmaceuticals Inc.,fluocinonide,941.06,medicine
578,"Watson Laboratories, Inc.",Methocarbamol,633.05,health
579,Bayer HealthCare Pharmaceuticals Inc.,Ultravist,750.31,pharmacy
580,GlaxoSmithKline LLC,Mekinist,780.91,medicine
581,"Nelco Laboratories, Inc.",Soybean,175.45,medicine
582,"VALUE MERCHANDISERS COMPANY, INC.",Aspirin NSAID,979.98,pharmacy
583,Baxter Healthcare Corporation,Potassium Chloride in Dextrose and Sodium Chloride,980.06,medicine
584,"Jets, Sets, & Elephants Beauty Corp.",Anti-bacterial Hand,408.12,pharmacy
585,The Wellness Center,MBM 11 Thyroid Adrenal,716.72,medicine
586,Tween Brands Inc,Justice Cotton Candy Scent ANTI BAC HAND SANITIZER,519.07,medicine
587,Mylan Pharmaceuticals Inc.,Levalbuterol,68.86,medicine
588,REMEDYREPACK INC.,Spironolactone,972.07,medicine
589,"Nelco Laboratories, Inc.",Red Alder,47.45,pharmacy
590,STAT RX USA LLC,BACLOFEN,967.94,medicine
591,"Praxair Distribution, Inc",Carbon Dioxide Oxygen Mix,403.06,pharmacy
592,Micro Labs Limited,Simvastatin,888.81,medicine
593,"Allermed Laboratories, Inc.",Arizona Ash Pollen,335.93,health
594,Bryant Ranch Prepack,Voltaren,361.23,pharmacy
595,McKesson,health mart nicotine,794.16,pharmacy
596,"PD-Rx Pharmaceuticals, Inc.",Hydrocortisone,555.57,health
597,Unifirst First Aid Corporation,Medi-First Cold Relief,779.41,health
598,"CorePharma, LLC","Dextroamphetamine saccharate, amphetamine aspartate monohydrate, dextroamphetamine sulfate and amphetamine sulfate",691.91,pharmacy
599,"Nelco Laboratories, Inc.",White Ash,220.53,medicine
600,Reckitt Benckiser LLC,Clearasil Ultra,232.5,medicine
601,Gen-Source Rx,Pioglitazone Hydrochloride,989.09,health
602,State of Florida DOH Central Pharmacy,Bupropion Hydrochloride,288.07,medicine
603,Western Family Foods Inc,cold relief,331.15,health
604,Actavis Elizabeth LLC,Morphine sulfate,18.52,health
605,"PD-Rx Pharmaceuticals, Inc.",CIPROFLOXACIN,425.27,medicine
606,West-ward Pharmaceutical Corp,Isoniazid,365.6,health
607,"Allergy Laboratories, Inc.",NEUROSPORA SITOPHILA,144.34,medicine
608,Georgia-Pacific Consumer Products LP,enMotion,181.61,health
609,Heel Inc,Hepeel,135.36,medicine
610,"Physicians Total Care, Inc.",Alprazolam,754.58,health
611,"MSD Consumer Care, Inc.",Coppertone SPORT PRO SERIES,535.08,health
612,"BioActive Nutritional, Inc.",Diathesis,962.79,health
613,BluePoint Laboratories,Venlafaxine,805.38,pharmacy
614,Walgreens,Walgreens,294.52,medicine
615,Kroger Co,Hand Sanitizer,138.84,health
616,"Meijer Distribution, Inc",Ibuprofen and Pseudoephedrine Hydrochloride,581.79,medicine
617,Colgate-Palmolive,Colgate,493.03,health
618,"Efficient Laboratories, Inc.",Rompe Pecho,930.96,medicine
619,Contract Pharmacal Corp,Meclizine,440.24,medicine
620,Budpak Inc.,Budpak Antifungal Miconazole Nitrate,166.8,health
621,"Youngstown Oxygen & Welding Supply, Inc.",Oxygen,321.96,health
622,"Bolero Home Decor, Inc.",Disney Fairies Antibacterial Hand Wipes,132.32,health
623,BJWC,berkley and jensen pain relief,208.15,pharmacy
624,ViiV Healthcare Company,ZIAGEN,775.1,pharmacy
625,Prasco Laboratories,Mesalamine,886.5,medicine
626,Conopco Inc. d/b/a Unilever,Degree,320.21,medicine
627,"Wechem, Inc.",Hand Guard Foaming Antimicrobial,830.21,pharmacy
628,Northwind Pharmaceuticals,Promethazine hydrochloride,972.96,medicine
629,"Dolgencorp, LLC",rexall anti itch,788.13,pharmacy
630,Cardinal Health,Leader,843.56,medicine
631,Clinical Solutions Wholesale,Fluoxetine,88.08,medicine
632,Heritage Pharmaceuticals Inc.,Glyburide-Metformin Hydrochloride,376.82,health
633,Cardinal Health,Isosorbide Dinitrate,624.54,health
634,CLEANSIA CORPORATION LTD.,NWC21 NATURAL SUN PROTECTOR,319.88,pharmacy
635,E-Z-EM Canada Inc,Varibar Thin Liquid,475.21,health
636,"Tarte, Inc",Amazonian Clay 12-Hour Full Coverage Foundation Broad Spectrum SPF 15 Sunscreen,779.46,medicine
637,Procter & Gamble Manufacturing Co.,Head and Shoulders Conditioner,599.37,pharmacy
638,"MSD Consumer Care, Inc.",Coppertone Sport AccuSpray,839.49,medicine
639,"AMI Cosmetic Co.,Ltd.",REVITALIZING C TONER,727.58,pharmacy
640,REMEDYREPACK INC.,Erythrocin Stearate,892.14,medicine
641,"Amneal Pharmaceuticals of New York, LLC",Metformin Hydrochloride,770.21,pharmacy
642,"Hospira, Inc",Piperacillin and Tazobactam,140.4,medicine
643,"Lupin Pharmaceuticals, Inc.",Fenofibrate,973.54,health
644,DZA Brands LLC,Body,704.11,pharmacy
645,Pro-ventas S.A. de C.V.,CALCID,733.46,pharmacy
646,"Nelco Laboratories, Inc.",Giant Wild Rye,766.17,pharmacy
647,Cardinal Health,Isuprel,86.88,medicine
648,"General Injectables & Vaccines, Inc.",Calcium Chloride,300.73,pharmacy
649,"Lupin Pharmaceuticals, Inc.",Divalproex Sodium,24.31,pharmacy
650,CHANEL PARFUMS BEAUTE,LES BEIGES,391.04,health
651,Person and Covey,Solbar Shield SPF40,324.85,health
652,REMEDYREPACK INC.,Avelox,902.91,health
653,"Dispensing Solutions, Inc.",Good Sense ibuprofen,374.01,medicine
654,"Physicians Total Care, Inc.",EpiPen,570.06,medicine
655,"Physicians Total Care, Inc.",rizatriptan benzoate,566.75,health
656,"Actavis Pharma, Inc.",Docetaxel,439.05,pharmacy
657,China Ningbo Shangge Cosmetic Technology Corp.,Liquid Hand Cleanse,970.87,medicine
658,"Lotus Brands, Inc.",Beauty Without Cruelty - Broad Spectrum SPF 18,879.92,medicine
659,"CVS Pharmacy, Inc.",CVS Cools Itch Fast,802.89,medicine
660,REMEDYREPACK INC.,Ciprofloxacin Hydrochloride,843.79,health
661,Hyland's,NAT. PHOS.,805.95,health
662,OUR FAMILY (Nash Finch Company),Nighttime Sleep Aid,184.9,medicine
663,"NATURE REPUBLIC CO., LTD.",BEEVENOM SLEEPING MASK,208.46,medicine
664,Pharmadel LLC,SanaTos Severe Cold and Cough Day Time,973.0,health
665,Qualitest Pharmaceuticals,Modafinil,462.86,medicine
666,"Teva Parenteral Medicines, Inc.",Enoxaparin Sodium,204.47,health
667,"Stratus Pharamceuticals, Inc",Salacyn,467.8,medicine
668,"Taro Pharmaceuticals U.S.A., Inc.",Ammonium Lactate,300.55,medicine
669,"Blue Cross Laboratories, Inc.",Med Aid,418.16,pharmacy
670,"Allergy Laboratories, Inc.",ORANGE FOOD,954.63,health
671,Meijer,Daily Moisturizing,114.24,pharmacy
672,Neutrogena Corporation,Neutrogena Skin Clearing,828.52,health
673,"MallyGirl, LLC",mally Lip Defender,558.44,health
674,"Lupin Pharmaceuticals, Inc.",SIMVASTATIN,869.4,health
675,"MedVantx, Inc.",Furosemide,429.95,medicine
676,Boehringer Ingelheim Pharmaceuticals Inc.,Zantac 75,288.77,health
677,"Konsyl Pharmaceuticals, Inc.",KONSYL Easy Mix Formula Psyllium Fiber,799.45,medicine
678,"Lovely Skin, Inc",FixMySkin Healing Balm Vanilla Fragrance,174.63,health
679,Foodhold U.S.A. LLC,Care One Maximum Strength First Aid Antibiotic,693.72,health
680,Ther-Rx Corporation,Micro-K 10 Extencaps,204.17,health
681,CVS,Cough Relief Grape,640.2,pharmacy
682,"SHISEIDO CO., LTD.",CLE DE PEAU BEAUTE,443.73,pharmacy
683,Sanum Kehlbeck GmbH & Co. KG,Pleo Nig,327.86,pharmacy
684,Walgreen Company,Triple Antibiotic with Pain Relief,492.03,health
685,Lake Erie Medical DBA Quality Care Products LLC,LEVAQUIN,539.34,pharmacy
686,"Caraco Pharma, Inc.",FIBRICOR,45.49,medicine
687,Chain Drug Marketing Association Inc.,Hydrocortisone Maximum Strength with Aloe,951.34,medicine
688,Mylan Institutional Inc.,Meloxicam,80.27,health
689,"MallyGirl, LLC",mally Face Defender Foundation BB,465.26,pharmacy
690,Ventura International LTD,LBEL divine lip gloss SPF 15,394.89,health
691,Jafra Cosmetics International Inc,Calming Dynamics Kit,597.38,medicine
692,"AMI Cosmetic Co.,Ltd.",Vitamin F Velvet Mask,704.66,health
693,CVS Pharmacy,CVS Capsaicin,130.43,health
694,BrandStorm HBC,Arnica,282.09,health
695,Natures Way Holding Co.,Ignatia amara,816.86,health
696,Clinical Solutions Wholesale,POLYMYXIN B SULFATE and TRIMETHOPRIM SULFATE,986.17,medicine
697,Broom Lane Enterprises,Zohar Toothpaste,656.1,health
698,Stat Rx USA,Promethazine DM,742.44,pharmacy
699,Sion Biotext Medical Ltd.,Vitamin A D,687.98,medicine
700,KJI Industrial Co Ltd,Slimming Sap Patch,921.06,health
701,"Covis Pharmaceuticals, Inc.",LANOXIN,912.46,medicine
702,"Antigen Laboratories, Inc.",Hops,646.81,medicine
703,REMEDYREPACK INC.,Doxepin Hydrochloride,367.33,pharmacy
704,Cardinal Health,Levothyroxine Sodium,179.32,pharmacy
705,Baxter Healthcare Corporation,ADVATE,933.16,health
706,"Go Smile, Inc.",Go Smile,195.92,pharmacy
707,E. Fougera & Co. a division of Fougera Pharmaceuticals Inc.,HYDROCORTISONE,386.88,medicine
708,"Physicians Total Care, Inc.",NICOTROL,479.46,pharmacy
709,Unifirst First Aid Corporation,MEDI-FIRST PLUS Ibuprofen,552.99,pharmacy
710,White Manufacturing Inc. DBA Micro-West,Total Copper,480.48,pharmacy
711,Kimberly-Clark Corporation,Scott Triclosan Free Antibacterial Skin Cleanser,122.55,medicine
712,"Deb USA, Inc.",Deb InstantFoam Alcohol Sanitizer,968.87,health
713,"Stephen L. LaFrance Pharmacy, Inc.",Allergy Severe,401.45,pharmacy
714,OZ SOAP TREE,OZ TREE,842.13,health
715,Teva Pharmaceuticals USA Inc,Glyburide and Metformin Hydrochloride,497.24,pharmacy
716,Uriel Pharmacy Inc.,Argentum 0.4,566.12,pharmacy
717,"Andy-Oxy Co., Inc.",Oxygen,272.08,health
718,"Antigen Laboratories, Inc.",Treatment Set TS333400,579.12,medicine
719,Major Pharmaceuticals,Banophen,201.35,health
720,"Mountain Top Labs, LLC",GO TIME,895.71,health
721,State of Florida DOH Central Pharmacy,SERTRALINE HYDROCHLORIDE,193.36,health
722,International Ethical Laboratories,Despec,802.53,health
723,"Tris Pharma, Inc.",Nexiclon XR,688.08,medicine
724,McKesson Contract Packaging,Glipizide,264.63,medicine
725,"Newton Laboratories, Inc.",Cell Salts,472.54,health
726,Bonne Bell LLC,Lip Smacker SPF 24 Lemon Lime Rush,239.14,pharmacy
727,Akorn,COSOPT,821.06,medicine
728,"Antigen Laboratories, Inc.",A Mold Mixture,198.17,health
729,Major Pharmaceuticals,BENZTROPINE MESYLATE,74.19,medicine
730,American Health Packaging,ASACOL,497.29,pharmacy
731,Perrigo Company,ESTRADIOL VALERATE,475.03,health
732,Rimmel Inc.,Moisture Renew,137.28,health
733,Mckesson (Sunmark),STOOL SOFTENER,864.49,pharmacy
734,Meijer Distribution Inc,Zinc Cold Remedy,797.04,pharmacy
735,Eight and Company,Sprayology SleepEase,298.5,health
736,Rebel Distributors Corp,ONDANSETRON,870.43,pharmacy
737,AMOREPACIFIC,AMOREPACIFIC,183.24,health
738,Access Business Group LLC,fulton street market Athletes Foot,496.51,pharmacy
739,Neutrogena Corporation,Neutrogena Healthy Skin Makeup,321.75,medicine
740,Uriel Pharmacy Inc.,Calendula Thuja Flora,491.27,health
741,"Newton Laboratories, Inc.",Hypercalm - Mental Focus,621.41,pharmacy
742,PHARMAZEUTISCHE FABRIK DR. RECKEWEG & CO,DR. RECKEWEG R37 Colinteston,102.79,pharmacy
743,Guthy-Renker LLC.,Proactiv Solution,43.64,pharmacy
744,Indiana Botanic Gardens,Homeopathic Joint Formula,100.44,medicine
745,"Glenmark Generics Inc., USA",BRIELLYN,810.19,medicine
746,"Tarte, Inc",Amazonian Clay 12-Hour Full Coverage Foundation Broad Spectrum SPF 15 Sunscreen,575.91,medicine
747,The Mentholatum Company,OXY Clinical,281.49,medicine
748,Mylan Pharmaceuticals Inc.,Anastrozole,660.49,health
749,"Nelco Laboratories, Inc.",Geotrichum candidum,165.04,health
750,King Bio Inc,Colds Sores and Herpes,610.43,medicine
751,JAFRA COSMETICS INTERNATIONAL,Hand Complex Broad Spectrum SPF 15,609.7,health
752,Henry Schein Inc.,Isopropyl Rubbing Alcohol,993.97,pharmacy
753,State of Florida DOH Central Pharmacy,Mirtazapine,574.0,medicine
754,Melaleuca Inc,Clear Defense,666.18,pharmacy
755,GlaxoSmithKline Consumer Healthcare LP,Aquafresh,706.11,health
756,Laboratoires Clarins S.A,CLARINS Ever Matte Broad Spectrum SPF 15 Tint 108,28.34,health
757,"ABC Compounding Co., Inc.",Coral,151.07,medicine
758,Aledian Corporation,Minus-Sol Facial Sun Protection Sunscreen Broad Spectrum SPF 30 Plus White,516.75,medicine
759,"Lupin Pharmaceuticals, Inc.",Duloxetine,498.73,medicine
760,"ABC Compounding Co., Inc.",Foamy Mango,342.57,health
761,Rebel Distributors Corp,Clorazepate Dipotassium,561.29,pharmacy
762,"DOLGENCORP, LLC",Diaper Rash,764.79,medicine
763,"Seyer Pharmatec, Inc.",Broncotron,216.21,medicine
